instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,hr
1,2011-01-01,spring,0,1,0,6,0,2,0.344167,0.363625,0.805833,0.160446,331,654,985,0
2,2011-01-02,spring,0,1,0,0,0,2,0.363478,0.353739,0.696087,0.248539,131,670,801,1
3,2011-01-03,spring,0,1,0,1,1,1,0.196364,0.189405,0.437273,0.248309,120,1229,1349,2
4,2011-01-04,spring,0,1,0,2,1,1,0.2,0.212122,0.590435,0.160296,108,1454,1562,3
5,2011-01-05,spring,0,1,0,3,1,1,0.226957,0.22927,0.436957,0.1869,82,1518,1600,4
6,2011-01-06,spring,0,1,0,4,1,1,0.204348,0.233209,0.518261,0.0895652,88,1518,1606,5
7,2011-01-07,spring,0,1,0,5,1,2,0.196522,0.208839,0.498696,0.168726,148,1362,1510,6
8,2011-01-08,spring,0,1,0,6,0,2,0.165,0.162254,0.535833,0.266804,68,891,959,7
9,2011-01-09,spring,0,1,0,0,0,1,0.138333,0.116175,0.434167,0.36195,54,768,822,8
10,2011-01-10,spring,0,1,0,1,1,1,0.150833,0.150888,0.482917,0.223267,41,1280,1321,9
11,2011-01-11,spring,0,1,0,2,1,2,0.169091,0.191464,0.686364,0.122132,43,1220,1263,10
12,2011-01-12,spring,0,1,0,3,1,1,0.172727,0.160473,0.599545,0.304627,25,1137,1162,11
13,2011-01-13,spring,0,1,0,4,1,1,0.165,0.150883,0.470417,0.301,38,1368,1406,12
14,2011-01-14,spring,0,1,0,5,1,1,0.16087,0.188413,0.537826,0.126548,54,1367,1421,13
15,2011-01-15,spring,0,1,0,6,0,2,0.233333,0.248112,0.49875,0.157963,222,1026,1248,14
16,2011-01-16,spring,0,1,0,0,0,1,0.231667,0.234217,0.48375,0.188433,251,953,1204,15
17,2011-01-17,spring,0,1,1,1,0,2,0.175833,0.176771,0.5375,0.194017,117,883,1000,16
18,2011-01-18,spring,0,1,0,2,1,2,0.216667,0.232333,0.861667,0.146775,9,674,683,17
19,2011-01-19,spring,0,1,0,3,1,2,0.292174,0.298422,0.741739,0.208317,78,1572,1650,18
20,2011-01-20,spring,0,1,0,4,1,2,0.261667,0.25505,0.538333,0.195904,83,1844,1927,19
21,2011-01-21,spring,0,1,0,5,1,1,0.1775,0.157833,0.457083,0.353242,75,1468,1543,20
22,2011-01-22,spring,0,1,0,6,0,1,0.0591304,0.0790696,0.4,0.17197,93,888,981,21
23,2011-01-23,spring,0,1,0,0,0,1,0.0965217,0.0988391,0.436522,0.2466,150,836,986,22
24,2011-01-24,spring,0,1,0,1,1,1,0.0973913,0.11793,0.491739,0.15833,86,1330,1416,23
25,2011-01-25,spring,0,1,0,2,1,2,0.223478,0.234526,0.616957,0.129796,186,1799,1985,0
26,2011-01-26,spring,0,1,0,3,1,3,0.2175,0.2036,0.8625,0.29385,34,472,506,1
27,2011-01-27,spring,0,1,0,4,1,1,0.195,0.2197,0.6875,0.113837,15,416,431,2
28,2011-01-28,spring,0,1,0,5,1,2,0.203478,0.223317,0.793043,0.1233,38,1129,1167,3
29,2011-01-29,spring,0,1,0,6,0,1,0.196522,0.212126,0.651739,0.145365,123,975,1098,4
30,2011-01-30,spring,0,1,0,0,0,1,0.216522,0.250322,0.722174,0.0739826,140,956,1096,6
31,2011-01-31,spring,0,1,0,1,1,2,0.180833,0.18625,0.60375,0.187192,42,1459,1501,7
32,2011-02-01,spring,0,2,0,2,1,2,0.192174,0.23453,0.829565,0.053213,47,1313,1360,8
33,2011-02-02,spring,0,2,0,3,1,2,0.26,0.254417,0.775417,0.264308,72,1454,1526,9
34,2011-02-03,spring,0,2,0,4,1,1,0.186957,0.177878,0.437826,0.277752,61,1489,1550,10
35,2011-02-04,spring,0,2,0,5,1,2,0.211304,0.228587,0.585217,0.127839,88,1620,1708,11
36,2011-02-05,spring,0,2,0,6,0,2,0.233333,0.243058,0.929167,0.161079,100,905,1005,12
37,2011-02-06,spring,0,2,0,0,0,1,0.285833,0.291671,0.568333,0.1418,354,1269,1623,13
38,2011-02-07,spring,0,2,0,1,1,1,0.271667,0.303658,0.738333,0.0454083,120,1592,1712,14
39,2011-02-08,spring,0,2,0,2,1,1,0.220833,0.198246,0.537917,0.36195,64,1466,1530,15
40,2011-02-09,spring,0,2,0,3,1,2,0.134783,0.144283,0.494783,0.188839,53,1552,1605,16
41,2011-02-10,spring,0,2,0,4,1,1,0.144348,0.149548,0.437391,0.221935,47,1491,1538,17
42,2011-02-11,spring,0,2,0,5,1,1,0.189091,0.213509,0.506364,0.10855,149,1597,1746,18
43,2011-02-12,spring,0,2,0,6,0,1,0.2225,0.232954,0.544167,0.203367,288,1184,1472,19
44,2011-02-13,spring,0,2,0,0,0,1,0.316522,0.324113,0.457391,0.260883,397,1192,1589,20
45,2011-02-14,spring,0,2,0,1,1,1,0.415,0.39835,0.375833,0.417908,208,1705,1913,21
46,2011-02-15,spring,0,2,0,2,1,1,0.266087,0.254274,0.314348,0.291374,140,1675,1815,22
47,2011-02-16,spring,0,2,0,3,1,1,0.318261,0.3162,0.423478,0.251791,218,1897,2115,23
48,2011-02-17,spring,0,2,0,4,1,1,0.435833,0.428658,0.505,0.230104,259,2216,2475,0
49,2011-02-18,spring,0,2,0,5,1,1,0.521667,0.511983,0.516667,0.264925,579,2348,2927,1
50,2011-02-19,spring,0,2,0,6,0,1,0.399167,0.391404,0.187917,0.507463,532,1103,1635,4
51,2011-02-20,spring,0,2,0,0,0,1,0.285217,0.27733,0.407826,0.223235,639,1173,1812,5
52,2011-02-21,spring,0,2,1,1,0,2,0.303333,0.284075,0.605,0.307846,195,912,1107,6
53,2011-02-22,spring,0,2,0,2,1,1,0.182222,0.186033,0.577778,0.195683,74,1376,1450,7
54,2011-02-23,spring,0,2,0,3,1,1,0.221739,0.245717,0.423043,0.094113,139,1778,1917,8
55,2011-02-24,spring,0,2,0,4,1,2,0.295652,0.289191,0.697391,0.250496,100,1707,1807,9
56,2011-02-25,spring,0,2,0,5,1,2,0.364348,0.350461,0.712174,0.346539,120,1341,1461,10
57,2011-02-26,spring,0,2,0,6,0,1,0.2825,0.282192,0.537917,0.186571,424,1545,1969,11
58,2011-02-27,spring,0,2,0,0,0,1,0.343478,0.351109,0.68,0.125248,694,1708,2402,12
59,2011-02-28,spring,0,2,0,1,1,2,0.407273,0.400118,0.876364,0.289686,81,1365,1446,13
60,2011-03-01,spring,0,3,0,2,1,1,0.266667,0.263879,0.535,0.216425,137,1714,1851,14
61,2011-03-02,spring,0,3,0,3,1,1,0.335,0.320071,0.449583,0.307833,231,1903,2134,15
62,2011-03-03,spring,0,3,0,4,1,1,0.198333,0.200133,0.318333,0.225754,123,1562,1685,16
63,2011-03-04,spring,0,3,0,5,1,2,0.261667,0.255679,0.610417,0.203346,214,1730,1944,17
64,2011-03-05,spring,0,3,0,6,0,2,0.384167,0.378779,0.789167,0.251871,640,1437,2077,18
65,2011-03-06,spring,0,3,0,0,0,2,0.376522,0.366252,0.948261,0.343287,114,491,605,19
66,2011-03-07,spring,0,3,0,1,1,1,0.261739,0.238461,0.551304,0.341352,244,1628,1872,20
67,2011-03-08,spring,0,3,0,2,1,1,0.2925,0.3024,0.420833,0.12065,316,1817,2133,21
68,2011-03-09,spring,0,3,0,3,1,2,0.295833,0.286608,0.775417,0.22015,191,1700,1891,22
69,2011-03-10,spring,0,3,0,4,1,3,0.389091,0.385668,0.0,0.261877,46,577,623,23
70,2011-03-11,spring,0,3,0,5,1,2,0.316522,0.305,0.649565,0.23297,247,1730,1977,0
71,2011-03-12,spring,0,3,0,6,0,1,0.329167,0.32575,0.594583,0.220775,724,1408,2132,1
72,2011-03-13,spring,0,3,0,0,0,1,0.384348,0.380091,0.527391,0.270604,982,1435,2417,2
73,2011-03-14,spring,0,3,0,1,1,1,0.325217,0.332,0.496957,0.136926,359,1687,2046,4
74,2011-03-15,spring,0,3,0,2,1,2,0.317391,0.318178,0.655652,0.184309,289,1767,2056,5
75,2011-03-16,spring,0,3,0,3,1,2,0.365217,0.36693,0.776522,0.203117,321,1871,2192,6
76,2011-03-17,spring,0,3,0,4,1,1,0.415,0.410333,0.602917,0.209579,424,2320,2744,7
77,2011-03-18,spring,0,3,0,5,1,1,0.54,0.527009,0.525217,0.231017,884,2355,3239,8
78,2011-03-19,spring,0,3,0,6,0,1,0.4725,0.466525,0.379167,0.368167,1424,1693,3117,9
79,2011-03-20,spring,0,3,0,0,0,1,0.3325,0.32575,0.47375,0.207721,1047,1424,2471,10
80,2011-03-21,summer,0,3,0,1,1,2,0.430435,0.409735,0.737391,0.288783,401,1676,2077,11
81,2011-03-22,summer,0,3,0,2,1,1,0.441667,0.440642,0.624583,0.22575,460,2243,2703,12
82,2011-03-23,summer,0,3,0,3,1,2,0.346957,0.337939,0.839565,0.234261,203,1918,2121,13
83,2011-03-24,summer,0,3,0,4,1,2,0.285,0.270833,0.805833,0.243787,166,1699,1865,14
84,2011-03-25,summer,0,3,0,5,1,1,0.264167,0.256312,0.495,0.230725,300,1910,2210,15
85,2011-03-26,summer,0,3,0,6,0,1,0.265833,0.257571,0.394167,0.209571,981,1515,2496,16
86,2011-03-27,summer,0,3,0,0,0,2,0.253043,0.250339,0.493913,0.1843,472,1221,1693,17
87,2011-03-28,summer,0,3,0,1,1,1,0.264348,0.257574,0.302174,0.212204,222,1806,2028,18
88,2011-03-29,summer,0,3,0,2,1,1,0.3025,0.292908,0.314167,0.226996,317,2108,2425,19
89,2011-03-30,summer,0,3,0,3,1,2,0.3,0.29735,0.646667,0.172888,168,1368,1536,20
90,2011-03-31,summer,0,3,0,4,1,3,0.268333,0.257575,0.918333,0.217646,179,1506,1685,21
91,2011-04-01,summer,0,4,0,5,1,2,0.3,0.283454,0.68625,0.258708,307,1920,2227,22
92,2011-04-02,summer,0,4,0,6,0,2,0.315,0.315637,0.65375,0.197146,898,1354,2252,23
93,2011-04-03,summer,0,4,0,0,0,1,0.378333,0.378767,0.48,0.182213,1651,1598,3249,0
94,2011-04-04,summer,0,4,0,1,1,1,0.573333,0.542929,0.42625,0.385571,734,2381,3115,1
95,2011-04-05,summer,0,4,0,2,1,2,0.414167,0.39835,0.642083,0.388067,167,1628,1795,2
96,2011-04-06,summer,0,4,0,3,1,1,0.390833,0.387608,0.470833,0.263063,413,2395,2808,4
97,2011-04-07,summer,0,4,0,4,1,1,0.4375,0.433696,0.602917,0.162312,571,2570,3141,5
98,2011-04-08,summer,0,4,0,5,1,2,0.335833,0.324479,0.83625,0.226992,172,1299,1471,6
99,2011-04-09,summer,0,4,0,6,0,2,0.3425,0.341529,0.8775,0.133083,879,1576,2455,7
100,2011-04-10,summer,0,4,0,0,0,2,0.426667,0.426737,0.8575,0.146767,1188,1707,2895,8
101,2011-04-11,summer,0,4,0,1,1,2,0.595652,0.565217,0.716956,0.324474,855,2493,3348,9
102,2011-04-12,summer,0,4,0,2,1,2,0.5025,0.493054,0.739167,0.274879,257,1777,2034,10
103,2011-04-13,summer,0,4,0,3,1,2,0.4125,0.417283,0.819167,0.250617,209,1953,2162,11
104,2011-04-14,summer,0,4,0,4,1,1,0.4675,0.462742,0.540417,0.1107,529,2738,3267,12
105,2011-04-15,summer,0,4,1,5,0,1,0.446667,0.441913,0.67125,0.226375,642,2484,3126,13
106,2011-04-16,summer,0,4,0,6,0,3,0.430833,0.425492,0.888333,0.340808,121,674,795,14
107,2011-04-17,summer,0,4,0,0,0,1,0.456667,0.445696,0.479583,0.303496,1558,2186,3744,15
108,2011-04-18,summer,0,4,0,1,1,1,0.5125,0.503146,0.5425,0.163567,669,2760,3429,16
109,2011-04-19,summer,0,4,0,2,1,2,0.505833,0.489258,0.665833,0.157971,409,2795,3204,17
110,2011-04-20,summer,0,4,0,3,1,1,0.595,0.564392,0.614167,0.241925,613,3331,3944,18
111,2011-04-21,summer,0,4,0,4,1,1,0.459167,0.453892,0.407083,0.325258,745,3444,4189,19
112,2011-04-22,summer,0,4,0,5,1,2,0.336667,0.321954,0.729583,0.219521,177,1506,1683,20
113,2011-04-23,summer,0,4,0,6,0,2,0.46,0.450121,0.887917,0.230725,1462,2574,4036,21
114,2011-04-24,summer,0,4,0,0,0,2,0.581667,0.551763,0.810833,0.192175,1710,2481,4191,22
115,2011-04-25,summer,0,4,0,1,1,1,0.606667,0.5745,0.776667,0.185333,773,3300,4073,23
116,2011-04-26,summer,0,4,0,2,1,1,0.631667,0.594083,0.729167,0.3265,678,3722,4400,0
117,2011-04-27,summer,0,4,0,3,1,2,0.62,0.575142,0.835417,0.3122,547,3325,3872,1
118,2011-04-28,summer,0,4,0,4,1,2,0.6175,0.578929,0.700833,0.320908,569,3489,4058,2
119,2011-04-29,summer,0,4,0,5,1,1,0.51,0.497463,0.457083,0.240063,878,3717,4595,4
120,2011-04-30,summer,0,4,0,6,0,1,0.4725,0.464021,0.503333,0.235075,1965,3347,5312,5
121,2011-05-01,summer,0,5,0,0,0,2,0.451667,0.448204,0.762083,0.106354,1138,2213,3351,6
122,2011-05-02,summer,0,5,0,1,1,2,0.549167,0.532833,0.73,0.183454,847,3554,4401,7
123,2011-05-03,summer,0,5,0,2,1,2,0.616667,0.582079,0.697083,0.342667,603,3848,4451,8
124,2011-05-04,summer,0,5,0,3,1,2,0.414167,0.40465,0.737083,0.328996,255,2378,2633,9
125,2011-05-05,summer,0,5,0,4,1,1,0.459167,0.441917,0.444167,0.295392,614,3819,4433,10
126,2011-05-06,summer,0,5,0,5,1,1,0.479167,0.474117,0.59,0.228246,894,3714,4608,11
127,2011-05-07,summer,0,5,0,6,0,1,0.52,0.512621,0.54125,0.16045,1612,3102,4714,12
128,2011-05-08,summer,0,5,0,0,0,1,0.528333,0.518933,0.631667,0.0746375,1401,2932,4333,13
129,2011-05-09,summer,0,5,0,1,1,1,0.5325,0.525246,0.58875,0.176,664,3698,4362,14
130,2011-05-10,summer,0,5,0,2,1,1,0.5325,0.522721,0.489167,0.115671,694,4109,4803,15
131,2011-05-11,summer,0,5,0,3,1,1,0.5425,0.5284,0.632917,0.120642,550,3632,4182,16
132,2011-05-12,summer,0,5,0,4,1,1,0.535,0.523363,0.7475,0.189667,695,4169,4864,17
133,2011-05-13,summer,0,5,0,5,1,2,0.5125,0.4943,0.863333,0.179725,692,3413,4105,18
134,2011-05-14,summer,0,5,0,6,0,2,0.520833,0.500629,0.9225,0.13495,902,2507,3409,19
135,2011-05-15,summer,0,5,0,0,0,2,0.5625,0.536,0.867083,0.152979,1582,2971,4553,20
136,2011-05-16,summer,0,5,0,1,1,1,0.5775,0.550512,0.787917,0.126871,773,3185,3958,21
137,2011-05-17,summer,0,5,0,2,1,2,0.561667,0.538529,0.837917,0.277354,678,3445,4123,22
138,2011-05-18,summer,0,5,0,3,1,2,0.55,0.527158,0.87,0.201492,536,3319,3855,23
139,2011-05-19,summer,0,5,0,4,1,2,0.530833,0.510742,0.829583,0.108213,735,3840,4575,0
140,2011-05-20,summer,0,5,0,5,1,1,0.536667,0.529042,0.719583,0.125013,909,4008,4917,1
141,2011-05-21,summer,0,5,0,6,0,1,0.6025,0.571975,0.626667,0.12065,2258,3547,5805,2
142,2011-05-22,summer,0,5,0,0,0,1,0.604167,0.5745,0.749583,0.148008,1576,3084,4660,4
143,2011-05-23,summer,0,5,0,1,1,2,0.631667,0.590296,0.81,0.233842,836,3438,4274,5
144,2011-05-24,summer,0,5,0,2,1,2,0.66,0.604813,0.740833,0.207092,659,3833,4492,6
145,2011-05-25,summer,0,5,0,3,1,1,0.660833,0.615542,0.69625,0.154233,740,4238,4978,7
146,2011-05-26,summer,0,5,0,4,1,1,0.708333,0.654688,0.6775,0.199642,758,3919,4677,8
147,2011-05-27,summer,0,5,0,5,1,1,0.681667,0.637008,0.65375,0.240679,871,3808,4679,9
148,2011-05-28,summer,0,5,0,6,0,1,0.655833,0.612379,0.729583,0.230092,2001,2757,4758,10
150,2011-05-30,summer,0,5,1,1,0,1,0.733333,0.671092,0.685,0.131225,1549,2549,4098,12
151,2011-05-31,summer,0,5,0,2,1,1,0.775,0.725383,0.636667,0.111329,673,3309,3982,13
152,2011-06-01,summer,0,6,0,3,1,2,0.764167,0.720967,0.677083,0.207092,513,3461,3974,14
153,2011-06-02,summer,0,6,0,4,1,1,0.715,0.643942,0.305,0.292287,736,4232,4968,15
154,2011-06-03,summer,0,6,0,5,1,1,0.62,0.587133,0.354167,0.253121,898,4414,5312,16
155,2011-06-04,summer,0,6,0,6,0,1,0.635,0.594696,0.45625,0.123142,1869,3473,5342,17
156,2011-06-05,summer,0,6,0,0,0,2,0.648333,0.616804,0.6525,0.138692,1685,3221,4906,18
157,2011-06-06,summer,0,6,0,1,1,1,0.678333,0.621858,0.6,0.121896,673,3875,4548,19
158,2011-06-07,summer,0,6,0,2,1,1,0.7075,0.65595,0.597917,0.187808,763,4070,4833,20
159,2011-06-08,summer,0,6,0,3,1,1,0.775833,0.727279,0.622083,0.136817,676,3725,4401,21
160,2011-06-09,summer,0,6,0,4,1,2,0.808333,0.757579,0.568333,0.149883,563,3352,3915,22
161,2011-06-10,summer,0,6,0,5,1,1,0.755,0.703292,0.605,0.140554,815,3771,4586,23
162,2011-06-11,summer,0,6,0,6,0,1,0.725,0.678038,0.654583,0.15485,1729,3237,4966,0
163,2011-06-12,summer,0,6,0,0,0,1,0.6925,0.643325,0.747917,0.163567,1467,2993,4460,1
164,2011-06-13,summer,0,6,0,1,1,1,0.635,0.601654,0.494583,0.30535,863,4157,5020,2
165,2011-06-14,summer,0,6,0,2,1,1,0.604167,0.591546,0.507083,0.269283,727,4164,4891,3
166,2011-06-15,summer,0,6,0,3,1,1,0.626667,0.587754,0.471667,0.167912,769,4411,5180,4
167,2011-06-16,summer,0,6,0,4,1,2,0.628333,0.595346,0.688333,0.206471,545,3222,3767,5
168,2011-06-17,summer,0,6,0,5,1,1,0.649167,0.600383,0.735833,0.143029,863,3981,4844,6
169,2011-06-18,summer,0,6,0,6,0,1,0.696667,0.643954,0.670417,0.119408,1807,3312,5119,7
170,2011-06-19,summer,0,6,0,0,0,2,0.699167,0.645846,0.666667,0.102,1639,3105,4744,8
171,2011-06-20,summer,0,6,0,1,1,2,0.635,0.595346,0.74625,0.155475,699,3311,4010,9
172,2011-06-21,fall,0,6,0,2,1,2,0.680833,0.637646,0.770417,0.171025,774,4061,4835,10
173,2011-06-22,fall,0,6,0,3,1,1,0.733333,0.693829,0.7075,0.172262,661,3846,4507,11
174,2011-06-23,fall,0,6,0,4,1,2,0.728333,0.693833,0.703333,0.238804,746,4044,4790,12
175,2011-06-24,fall,0,6,0,5,1,1,0.724167,0.656583,0.573333,0.222025,969,4022,4991,13
176,2011-06-25,fall,0,6,0,6,0,1,0.695,0.643313,0.483333,0.209571,1782,3420,5202,14
177,2011-06-26,fall,0,6,0,0,0,1,0.68,0.637629,0.513333,0.0945333,1920,3385,5305,15
178,2011-06-27,fall,0,6,0,1,1,2,0.6825,0.637004,0.658333,0.107588,854,3854,4708,16
179,2011-06-28,fall,0,6,0,2,1,1,0.744167,0.692558,0.634167,0.144283,732,3916,4648,17
180,2011-06-29,fall,0,6,0,3,1,1,0.728333,0.654688,0.497917,0.261821,848,4377,5225,18
181,2011-06-30,fall,0,6,0,4,1,1,0.696667,0.637008,0.434167,0.185312,1027,4488,5515,19
182,2011-07-01,fall,0,7,0,5,1,1,0.7225,0.652162,0.39625,0.102608,1246,4116,5362,20
183,2011-07-02,fall,0,7,0,6,0,1,0.738333,0.667308,0.444583,0.115062,2204,2915,5119,21
186,2011-07-05,fall,0,7,0,2,1,1,0.746667,0.696338,0.590417,0.126258,1031,3634,4665,0
187,2011-07-06,fall,0,7,0,3,1,1,0.72,0.685633,0.743333,0.149883,784,3845,4629,1
188,2011-07-07,fall,0,7,0,4,1,1,0.75,0.686871,0.65125,0.1592,754,3838,4592,2
189,2011-07-08,fall,0,7,0,5,1,2,0.709167,0.670483,0.757917,0.225129,692,3348,4040,3
190,2011-07-09,fall,0,7,0,6,0,1,0.733333,0.664158,0.609167,0.167912,1988,3348,5336,4
191,2011-07-10,fall,0,7,0,0,0,1,0.7475,0.690025,0.578333,0.183471,1743,3138,4881,5
192,2011-07-11,fall,0,7,0,1,1,1,0.7625,0.729804,0.635833,0.282337,723,3363,4086,6
193,2011-07-12,fall,0,7,0,2,1,1,0.794167,0.739275,0.559167,0.200254,662,3596,4258,7
194,2011-07-13,fall,0,7,0,3,1,1,0.746667,0.689404,0.631667,0.146133,748,3594,4342,8
195,2011-07-14,fall,0,7,0,4,1,1,0.680833,0.635104,0.47625,0.240667,888,4196,5084,9
196,2011-07-15,fall,0,7,0,5,1,1,0.663333,0.624371,0.59125,0.182833,1318,4220,5538,10
198,2011-07-17,fall,0,7,0,0,0,1,0.719167,0.669833,0.604167,0.245033,2006,3296,5302,12
199,2011-07-18,fall,0,7,0,1,1,1,0.746667,0.703925,0.65125,0.215804,841,3617,4458,13
200,2011-07-19,fall,0,7,0,2,1,1,0.776667,0.747479,0.650417,0.1306,752,3789,4541,14
201,2011-07-20,fall,0,7,0,3,1,1,0.768333,0.74685,0.707083,0.113817,644,3688,4332,15
202,2011-07-21,fall,0,7,0,4,1,2,0.815,0.826371,0.69125,0.222021,632,3152,3784,16
203,2011-07-22,fall,0,7,0,5,1,1,0.848333,0.840896,0.580417,0.1331,562,2825,3387,17
204,2011-07-23,fall,0,7,0,6,0,1,0.849167,0.804287,0.5,0.131221,987,2298,3285,18
205,2011-07-24,fall,0,7,0,0,0,1,0.83,0.794829,0.550833,0.169171,1050,2556,3606,19
206,2011-07-25,fall,0,7,0,1,1,1,0.743333,0.720958,0.757083,0.0908083,568,3272,3840,20
207,2011-07-26,fall,0,7,0,2,1,1,0.771667,0.696979,0.540833,0.200258,750,3840,4590,21
208,2011-07-27,fall,0,7,0,3,1,1,0.775,0.690667,0.402917,0.183463,755,3901,4656,22
209,2011-07-28,fall,0,7,0,4,1,1,0.779167,0.7399,0.583333,0.178479,606,3784,4390,23
210,2011-07-29,fall,0,7,0,5,1,1,0.838333,0.785967,0.5425,0.174138,670,3176,3846,0
211,2011-07-30,fall,0,7,0,6,0,1,0.804167,0.728537,0.465833,0.168537,1559,2916,4475,1
212,2011-07-31,fall,0,7,0,0,0,1,0.805833,0.729796,0.480833,0.164813,1524,2778,4302,2
213,2011-08-01,fall,0,8,0,1,1,1,0.771667,0.703292,0.550833,0.156717,729,3537,4266,3
214,2011-08-02,fall,0,8,0,2,1,1,0.783333,0.707071,0.49125,0.20585,801,4044,4845,4
215,2011-08-03,fall,0,8,0,3,1,2,0.731667,0.679937,0.6575,0.135583,467,3107,3574,5
216,2011-08-04,fall,0,8,0,4,1,2,0.71,0.664788,0.7575,0.19715,799,3777,4576,6
217,2011-08-05,fall,0,8,0,5,1,1,0.710833,0.656567,0.630833,0.184696,1023,3843,4866,7
218,2011-08-06,fall,0,8,0,6,0,2,0.716667,0.676154,0.755,0.22825,1521,2773,4294,8
219,2011-08-07,fall,0,8,0,0,0,1,0.7425,0.715292,0.752917,0.201487,1298,2487,3785,9
220,2011-08-08,fall,0,8,0,1,1,1,0.765,0.703283,0.592083,0.192175,846,3480,4326,10
221,2011-08-09,fall,0,8,0,2,1,1,0.775,0.724121,0.570417,0.151121,907,3695,4602,11
222,2011-08-10,fall,0,8,0,3,1,1,0.766667,0.684983,0.424167,0.200258,884,3896,4780,12
223,2011-08-11,fall,0,8,0,4,1,1,0.7175,0.651521,0.42375,0.164796,812,3980,4792,13
224,2011-08-12,fall,0,8,0,5,1,1,0.708333,0.654042,0.415,0.125621,1051,3854,4905,14
225,2011-08-13,fall,0,8,0,6,0,2,0.685833,0.645858,0.729583,0.211454,1504,2646,4150,15
226,2011-08-14,fall,0,8,0,0,0,2,0.676667,0.624388,0.8175,0.222633,1338,2482,3820,16
227,2011-08-15,fall,0,8,0,1,1,1,0.665833,0.616167,0.712083,0.208954,775,3563,4338,17
228,2011-08-16,fall,0,8,0,2,1,1,0.700833,0.645837,0.578333,0.236329,721,4004,4725,18
229,2011-08-17,fall,0,8,0,3,1,1,0.723333,0.666671,0.575417,0.143667,668,4026,4694,19
230,2011-08-18,fall,0,8,0,4,1,1,0.711667,0.662258,0.654583,0.233208,639,3166,3805,20
231,2011-08-19,fall,0,8,0,5,1,2,0.685,0.633221,0.722917,0.139308,797,3356,4153,21
232,2011-08-20,fall,0,8,0,6,0,1,0.6975,0.648996,0.674167,0.104467,1914,3277,5191,22
233,2011-08-21,fall,0,8,0,0,0,1,0.710833,0.675525,0.77,0.248754,1249,2624,3873,23
234,2011-08-22,fall,0,8,0,1,1,1,0.691667,0.638254,0.47,0.27675,833,3925,4758,0
